model_id,file,predicted_class,confidence,top_classes,top_confidences,embeddings,success,model_name,confidence_pct
model_0,sam_1.wav,sun,0.4387955069541931,"['sun', 'son', 'seven', 'south', 'set']","[0.4387955069541931, 0.4085206389427185, 0.06150520220398903, 0.053789541125297546, 0.012707152403891087]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,43.88%
model_0,sam_2.wav,girl,0.10886286199092865,"['girl', 'put', 'really', 'without', 'well']","[0.10886286199092865, 0.09847018867731094, 0.07129058986902237, 0.060852304100990295, 0.05259848013520241]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,10.89%
model_0,shambu_1.wav,family,0.5524824857711792,"['family', 'few', 'become', 'young', 'county']","[0.5524824857711792, 0.13400405645370483, 0.07329900562763214, 0.04110325872898102, 0.04036868363618851]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,55.25%
model_0,shambu_2.wav,until,0.6600761413574219,"['until', 'himself', 'without', 'done', 'desert']","[0.6600761413574219, 0.2669747471809387, 0.04747980833053589, 0.008472708985209465, 0.0051661706529557705]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,66.01%
model_0,alexa_1.wav,until,0.31146031618118286,"['until', 'please', 'idea', 'under', 'himself']","[0.31146031618118286, 0.21436089277267456, 0.12518665194511414, 0.09249335527420044, 0.04778170958161354]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,31.15%
model_0,alexa_2.wav,county,0.36451610922813416,"['county', 'until', 'party', 'once', 'answered']","[0.36451610922813416, 0.14463193714618683, 0.0511314794421196, 0.05110954865813255, 0.04974016174674034]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,36.45%
model_0,alexa_3.wav,until,0.42900362610816956,"['until', 'county', 'point', 'white', 'once']","[0.42900362610816956, 0.20437651872634888, 0.062272924929857254, 0.06020490452647209, 0.04441140964627266]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,42.90%
model_0,alexa_4.wav,point,0.43582940101623535,"['point', 'under', 'county', 'few', 'away']","[0.43582940101623535, 0.0453338660299778, 0.0371822752058506, 0.033953581005334854, 0.0328475758433342]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,43.58%
model_0,alexa_5.wav,until,0.35503053665161133,"['until', 'please', 'include', 'put', 'within']","[0.35503053665161133, 0.2537152171134949, 0.0662911906838417, 0.06001482531428337, 0.048369452357292175]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,35.50%
model_0,shiva_1.wav,show,0.4769916534423828,"['show', 'few', 'until', 'set', 'soon']","[0.4769916534423828, 0.13562557101249695, 0.11489856988191605, 0.10022734850645065, 0.03265257552266121]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,47.70%
model_0,shiva_2.wav,until,0.3059763014316559,"['until', 'idea', 'party', 'county', 'under']","[0.3059763014316559, 0.15983176231384277, 0.1086251512169838, 0.08644411712884903, 0.05722583457827568]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,30.60%
model_0,munez_2.wav,woman,0.2517069876194,"['woman', 'money', 'following', 'early', 'family']","[0.2517069876194, 0.24609413743019104, 0.179054394364357, 0.1334291249513626, 0.07858332991600037]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,25.17%
model_0,munez_3.wav,wanted,0.4401380121707916,"['wanted', 'money', 'woman', 'point', 'once']","[0.4401380121707916, 0.21200990676879883, 0.08307713270187378, 0.05175771564245224, 0.04886645823717117]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,44.01%
model_0,nigga2.wav,mean,0.27971768379211426,"['mean', 'read', 'being', 'knew', 'give']","[0.27971768379211426, 0.2430831342935562, 0.09936577081680298, 0.09607820957899094, 0.06546924263238907]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,27.97%
model_0,nigga3.wav,idea,0.9811586141586304,"['idea', 'read', 'knew', 'really', 'mean']","[0.9811586141586304, 0.006394931580871344, 0.004049867857247591, 0.002316189929842949, 0.0018373833736404777]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,98.12%
model_0,kallan_1.wav,well,0.8948812484741211,"['well', 'early', 'really', 'following', 'family']","[0.8948812484741211, 0.028826065361499786, 0.02319583110511303, 0.021120324730873108, 0.007376133929938078]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,89.49%
model_0,kallan_2.wav,until,0.4779515564441681,"['until', 'county', 'family', 'answered', 'south']","[0.4779515564441681, 0.16961555182933807, 0.0660928413271904, 0.06088978797197342, 0.03431923687458038]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,47.80%
model_0,Hello1.mp3,top,0.8717435002326965,"['top', 'girl', 'done', 'help', 'north']","[0.8717435002326965, 0.04994192346930504, 0.022709306329488754, 0.01568605564534664, 0.01088007539510727]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,87.17%
model_0,Eliza1.mp3,water,0.7420701384544373,"['water', 'well', 'last', 'father', 'live']","[0.7420701384544373, 0.05373591557145119, 0.044455546885728836, 0.03923225775361061, 0.038023196160793304]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,74.21%
